S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,4,3
S2,GRAFICOS POR COMPUTADOR,5,1
S2,INGENIERIA DE SOFTWARE,1,0
S2,INGENIERIA DE SOFTWARE,1,2
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,4,0
S2,GRAFICOS POR COMPUTADOR,4,2
S2,INGENIERIA DE SOFTWARE,0,4
S2,INGENIERIA DE SOFTWARE,1,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,3,0
S2,GRAFICOS POR COMPUTADOR,3,2
S2,INGENIERIA DE SOFTWARE,0,0
S2,INGENIERIA DE SOFTWARE,0,2
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,3,0
S2,GRAFICOS POR COMPUTADOR,3,2
S2,INGENIERIA DE SOFTWARE,0,0
S2,INGENIERIA DE SOFTWARE,0,2
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,3,0
S2,GRAFICOS POR COMPUTADOR,3,2
S2,INGENIERIA DE SOFTWARE,0,0
S2,INGENIERIA DE SOFTWARE,0,2
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S2,GRAFICOS POR COMPUTADOR,3,0
S2,GRAFICOS POR COMPUTADOR,3,2
S2,INGENIERIA DE SOFTWARE,0,0
S2,INGENIERIA DE SOFTWARE,0,2
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S1,GRAFICOS POR COMPUTADOR,1,3
S1,GRAFICOS POR COMPUTADOR,2,1
S1,SISTEMAS GERENCIALES,2,1
S1,SISTEMAS GERENCIALES,2,3
S2,GRAFICOS POR COMPUTADOR,3,0
S2,GRAFICOS POR COMPUTADOR,3,2
S2,INGENIERIA DE SOFTWARE,0,0
S2,INGENIERIA DE SOFTWARE,0,2
